2006 037 10 17 10.500       -19.633       -63.481        15.326        68.192         1.096        -0.136         0.433         1.186
2006 037 10 22 10.500       -19.628       -63.481        15.328        68.191         1.096        -0.136         0.433         1.186
2006 037 10 27 10.500       -19.623       -63.482        15.330        68.191         1.096        -0.135         0.433         1.186
2006 037 10 32 10.500       -19.618       -63.482        15.332        68.190         1.097        -0.134         0.433         1.187
2006 037 10 37 10.500       -19.612       -63.483        15.334        68.190         1.097        -0.134         0.432         1.187
2006 037 10 42 10.500       -19.607       -63.484        15.336        68.190         1.097        -0.133         0.432         1.187
2006 037 10 47 10.500       -19.602       -63.484        15.339        68.189         1.097        -0.133         0.432         1.187
2006 037 10 52 10.500       -19.596       -63.485        15.341        68.189         1.097        -0.132         0.432         1.187
2006 037 10 57 10.500       -19.591       -63.486        15.343        68.188         1.098        -0.131         0.432         1.187
2006 037 11 02 10.500       -19.586       -63.486        15.345        68.188         1.098        -0.131         0.432         1.187
2006 037 11 07 10.500       -19.580       -63.487        15.347        68.187         1.098        -0.130         0.431         1.187
2006 037 11 12 10.500       -19.575       -63.487        15.349        68.187         1.098        -0.129         0.431         1.187
2006 037 11 17 10.500       -19.570       -63.488        15.351        68.186         1.098        -0.129         0.431         1.187
2006 037 11 22 10.500       -19.564       -63.489        15.354        68.186         1.099        -0.128         0.431         1.187
2006 037 11 27 10.500       -19.559       -63.489        15.356        68.185         1.099        -0.128         0.431         1.187
2006 037 11 32 10.500       -19.554       -63.490        15.358        68.185         1.099        -0.127         0.431         1.187
2006 037 11 37 10.500       -19.548       -63.490        15.360        68.184         1.099        -0.126         0.431         1.187
2006 037 11 42 10.500       -19.543       -63.491        15.362        68.184         1.099        -0.126         0.430         1.187
2006 037 11 47 10.500       -19.538       -63.491        15.364        68.183         1.100        -0.125         0.430         1.187
2006 037 11 52 10.500       -19.532       -63.492        15.366        68.183         1.100        -0.124         0.430         1.187
2006 037 11 57 10.500       -19.527       -63.493        15.369        68.182         1.100        -0.124         0.430         1.187
2006 037 12 02 10.500       -19.522       -63.493        15.371        68.182         1.100        -0.123         0.430         1.188
2006 037 12 07 10.500       -19.516       -63.494        15.373        68.181         1.100        -0.123         0.430         1.188
2006 037 12 12 10.500       -19.511       -63.494        15.375        68.181         1.101        -0.122         0.429         1.188
2006 037 12 17 10.500       -19.506       -63.495        15.377        68.180         1.101        -0.121         0.429         1.188
2006 037 12 22 10.500       -19.500       -63.495        15.379        68.180         1.101        -0.121         0.429         1.188
2006 037 12 27 10.500       -19.495       -63.496        15.381        68.179         1.101        -0.120         0.429         1.188
2006 037 12 32 10.500       -19.490       -63.497        15.384        68.179         1.101        -0.119         0.429         1.188
2006 037 12 37 10.500       -19.484       -63.497        15.386        68.178         1.102        -0.119         0.429         1.188
2006 037 12 42 10.500       -19.479       -63.498        15.388        68.177         1.102        -0.118         0.429         1.188
2006 037 12 47 10.500       -19.474       -63.498        15.390        68.177         1.102        -0.118         0.428         1.188
2006 037 12 52 10.500       -19.468       -63.499        15.392        68.176         1.102        -0.117         0.428         1.188
2006 037 12 57 10.500       -19.463       -63.499        15.394        68.176         1.102        -0.116         0.428         1.188
2006 037 13 02 10.500       -19.458       -63.500        15.396        68.175         1.102        -0.116         0.428         1.188
2006 037 13 07 10.500       -19.452       -63.500        15.398        68.175         1.103        -0.115         0.428         1.188
2006 037 13 12 10.500       -19.447       -63.501        15.401        68.174         1.103        -0.114         0.428         1.188
2006 037 13 17 10.500       -19.441       -63.501        15.403        68.174         1.103        -0.114         0.427         1.188
2006 037 13 22 10.500       -19.436       -63.502        15.405        68.173         1.103        -0.113         0.427         1.189
2006 037 13 27 10.500       -19.431       -63.502        15.407        68.173         1.103        -0.113         0.427         1.189
2006 037 13 32 10.500       -19.425       -63.503        15.409        68.172         1.104        -0.112         0.427         1.189
2006 037 13 37 10.500       -19.420       -63.503        15.411        68.171         1.104        -0.111         0.427         1.189
2006 037 13 42 10.500       -19.415       -63.504        15.413        68.171         1.104        -0.111         0.427         1.189
2006 037 13 47 10.500       -19.409       -63.504        15.415        68.170         1.104        -0.110         0.427         1.189
2006 037 13 52 10.500       -19.404       -63.505        15.418        68.170         1.104        -0.109         0.426         1.189
2006 037 13 57 10.500       -19.399       -63.506        15.420        68.169         1.105        -0.109         0.426         1.189
2006 037 14 02 10.500       -19.393       -63.506        15.422        68.169         1.105        -0.108         0.426         1.189
2006 037 14 07 10.500       -19.388       -63.506        15.424        68.168         1.105        -0.108         0.426         1.189
2006 037 14 12 10.500       -19.383       -63.507        15.426        68.167         1.105        -0.107         0.426         1.189
2006 037 14 17 10.500       -19.377       -63.507        15.428        68.167         1.105        -0.106         0.426         1.189
2006 037 14 22 10.500       -19.372       -63.508        15.430        68.166         1.106        -0.106         0.426         1.189
2006 037 14 27 10.500       -19.366       -63.508        15.432        68.166         1.106        -0.105         0.425         1.189
2006 037 14 32 10.500       -19.361       -63.509        15.435        68.165         1.106        -0.104         0.425         1.189
2006 037 14 37 10.500       -19.356       -63.509        15.437        68.164         1.106        -0.104         0.425         1.190
2006 037 14 42 10.500       -19.350       -63.510        15.439        68.164         1.106        -0.103         0.425         1.190
2006 037 14 47 10.500       -19.345       -63.510        15.441        68.163         1.106        -0.103         0.425         1.190
2006 037 14 52 10.500       -19.340       -63.511        15.443        68.163         1.107        -0.102         0.425         1.190
2006 037 14 57 10.500       -19.334       -63.511        15.445        68.162         1.107        -0.101         0.424         1.190
2006 037 15 02 10.500       -19.329       -63.512        15.447        68.161         1.107        -0.101         0.424         1.190
2006 037 15 07 10.500       -19.324       -63.512        15.449        68.161         1.107        -0.100         0.424         1.190
2006 037 15 12 10.500       -19.318       -63.513        15.451        68.160         1.107        -0.099         0.424         1.190
2006 037 15 17 10.500       -19.313       -63.513        15.454        68.159         1.108        -0.099         0.424         1.190
2006 037 15 22 10.500       -19.307       -63.514        15.456        68.159         1.108        -0.098         0.424         1.190
2006 037 15 27 10.500       -19.302       -63.514        15.458        68.158         1.108        -0.098         0.424         1.190
2006 037 15 32 10.500       -19.297       -63.514        15.460        68.158         1.108        -0.097         0.423         1.190
2006 037 15 37 10.500       -19.291       -63.515        15.462        68.157         1.108        -0.096         0.423         1.190
2006 037 15 42 10.500       -19.286       -63.515        15.464        68.156         1.109        -0.096         0.423         1.190
2006 037 15 47 10.500       -19.281       -63.516        15.466        68.156         1.109        -0.095         0.423         1.190
2006 037 15 52 10.500       -19.275       -63.516        15.468        68.155         1.109        -0.094         0.423         1.191
2006 037 15 57 10.500       -19.270       -63.517        15.470        68.154         1.109        -0.094         0.423         1.191
2006 037 16 02 10.500       -19.264       -63.517        15.473        68.154         1.109        -0.093         0.422         1.191
2006 037 16 07 10.500       -19.259       -63.517        15.475        68.153         1.110        -0.093         0.422         1.191
2006 037 16 12 10.500       -19.254       -63.518        15.477        68.152         1.110        -0.092         0.422         1.191
2006 037 16 17 10.500       -19.248       -63.518        15.479        68.152         1.110        -0.091         0.422         1.191
2006 037 16 22 10.500       -19.243       -63.519        15.481        68.151         1.110        -0.091         0.422         1.191
2006 037 16 27 10.500       -19.238       -63.519        15.483        68.150         1.110        -0.090         0.422         1.191
2006 037 16 32 10.500       -19.232       -63.519        15.485        68.150         1.111        -0.089         0.422         1.191
2006 037 16 37 10.500       -19.227       -63.520        15.487        68.149         1.111        -0.089         0.421         1.191
2006 037 16 42 10.500       -19.221       -63.520        15.489        68.148         1.111        -0.088         0.421         1.191
2006 037 16 47 10.500       -19.216       -63.521        15.491        68.148         1.111        -0.087         0.421         1.191
2006 037 16 52 10.500       -19.211       -63.521        15.493        68.147         1.111        -0.087         0.421         1.191
2006 037 16 57 10.500       -19.205       -63.521        15.496        68.146         1.111        -0.086         0.421         1.192
2006 037 17 02 10.500       -19.200       -63.522        15.498        68.146         1.112        -0.086         0.421         1.192
2006 037 17 07 10.500       -19.194       -63.522        15.500        68.145         1.112        -0.085         0.420         1.192
2006 037 17 12 10.500       -19.189       -63.523        15.502        68.144         1.112        -0.084         0.420         1.192
2006 037 17 17 10.500       -19.184       -63.523        15.504        68.144         1.112        -0.084         0.420         1.192
2006 037 17 22 10.500       -19.178       -63.523        15.506        68.143         1.112        -0.083         0.420         1.192
2006 037 17 27 10.500       -19.173       -63.524        15.508        68.142         1.113        -0.082         0.420         1.192
2006 037 17 32 10.500       -19.167       -63.524        15.510        68.141         1.113        -0.082         0.420         1.192
2006 037 17 37 10.500       -19.162       -63.524        15.512        68.141         1.113        -0.081         0.420         1.192
2006 037 17 42 10.500       -19.157       -63.525        15.514        68.140         1.113        -0.081         0.419         1.192
2006 037 17 47 10.500       -19.151       -63.525        15.516        68.139         1.113        -0.080         0.419         1.192
2006 037 17 52 10.500       -19.146       -63.525        15.519        68.139         1.114        -0.079         0.419         1.192
2006 037 17 57 10.500       -19.140       -63.526        15.521        68.138         1.114        -0.079         0.419         1.193
2006 037 18 02 10.500       -19.135       -63.526        15.523        68.137         1.114        -0.078         0.419         1.193
2006 037 18 07 10.500       -19.130       -63.527        15.525        68.137         1.114        -0.077         0.419         1.193
2006 037 18 12 10.500       -19.124       -63.527        15.527        68.136         1.114        -0.077         0.418         1.193
2006 037 18 17 10.500       -19.119       -63.527        15.529        68.135         1.114        -0.076         0.418         1.193
2006 037 18 22 10.500       -19.113       -63.528        15.531        68.134         1.115        -0.076         0.418         1.193
2006 037 18 27 10.500       -19.108       -63.528        15.533        68.134         1.115        -0.075         0.418         1.193
2006 037 18 32 10.500       -19.103       -63.528        15.535        68.133         1.115        -0.074         0.418         1.193
2006 037 18 37 10.500       -19.097       -63.529        15.537        68.132         1.115        -0.074         0.418         1.193
2006 037 18 42 10.500       -19.092       -63.529        15.539        68.131         1.115        -0.073         0.418         1.193
2006 037 18 47 10.500       -19.086       -63.529        15.541        68.131         1.116        -0.072         0.417         1.193
2006 037 18 52 10.500       -19.081       -63.530        15.544        68.130         1.116        -0.072         0.417         1.193
2006 037 18 57 10.500       -19.076       -63.530        15.546        68.129         1.116        -0.071         0.417         1.194
2006 037 19 02 10.500       -19.070       -63.530        15.548        68.128         1.116        -0.071         0.417         1.194
2006 037 19 07 10.500       -19.065       -63.530        15.550        68.128         1.116        -0.070         0.417         1.194
2006 037 19 12 10.500       -19.059       -63.531        15.552        68.127         1.117        -0.069         0.417         1.194
2006 037 19 17 10.500       -19.054       -63.531        15.554        68.126         1.117        -0.069         0.416         1.194
2006 037 19 22 10.500       -19.048       -63.531        15.556        68.125         1.117        -0.068         0.416         1.194
2006 037 19 27 10.500       -19.043       -63.532        15.558        68.125         1.117        -0.067         0.416         1.194
2006 037 19 32 10.500       -19.038       -63.532        15.560        68.124         1.117        -0.067         0.416         1.194
2006 037 19 37 10.500       -19.032       -63.532        15.562        68.123         1.118        -0.066         0.416         1.194
2006 037 19 42 10.500       -19.027       -63.533        15.564        68.122         1.118        -0.066         0.416         1.194
2006 037 19 47 10.500       -19.021       -63.533        15.566        68.121         1.118        -0.065         0.416         1.194
2006 037 19 52 10.500       -19.016       -63.533        15.568        68.121         1.118        -0.064         0.415         1.194
2006 037 19 57 10.500       -19.010       -63.533        15.570        68.120         1.118        -0.064         0.415         1.195
2006 037 20 02 10.500       -19.005       -63.534        15.573        68.119         1.118        -0.063         0.415         1.195
2006 037 20 07 10.500       -19.000       -63.534        15.575        68.118         1.119        -0.062         0.415         1.195
2006 037 20 12 10.500       -18.994       -63.534        15.577        68.118         1.119        -0.062         0.415         1.195
2006 037 20 17 10.500       -18.989       -63.534        15.579        68.117         1.119        -0.061         0.415         1.195
2006 037 20 22 10.500       -18.983       -63.535        15.581        68.116         1.119        -0.061         0.414         1.195
2006 037 20 27 10.500       -18.978       -63.535        15.583        68.115         1.119        -0.060         0.414         1.195
2006 037 20 32 10.500       -18.972       -63.535        15.585        68.114         1.120        -0.059         0.414         1.195
2006 037 20 37 10.500       -18.967       -63.535        15.587        68.114         1.120        -0.059         0.414         1.195
2006 037 20 42 10.500       -18.962       -63.536        15.589        68.113         1.120        -0.058         0.414         1.195
2006 037 20 47 10.500       -18.956       -63.536        15.591        68.112         1.120        -0.057         0.414         1.195
2006 037 20 52 10.500       -18.951       -63.536        15.593        68.111         1.120        -0.057         0.414         1.196
2006 037 20 57 10.500       -18.945       -63.536        15.595        68.110         1.121        -0.056         0.413         1.196
2006 037 21 02 10.500       -18.940       -63.537        15.597        68.109         1.121        -0.056         0.413         1.196
2006 037 21 07 10.500       -18.934       -63.537        15.599        68.109         1.121        -0.055         0.413         1.196
2006 037 21 12 10.500       -18.929       -63.537        15.601        68.108         1.121        -0.054         0.413         1.196
2006 037 21 17 10.500       -18.924       -63.537        15.603        68.107         1.121        -0.054         0.413         1.196
2006 037 21 22 10.500       -18.918       -63.538        15.606        68.106         1.121        -0.053         0.413         1.196
2006 037 21 27 10.500       -18.913       -63.538        15.608        68.105         1.122        -0.052         0.412         1.196
2006 037 21 32 10.500       -18.907       -63.538        15.610        68.104         1.122        -0.052         0.412         1.196
2006 037 21 37 10.500       -18.902       -63.538        15.612        68.104         1.122        -0.051         0.412         1.196
2006 037 21 42 10.500       -18.896       -63.538        15.614        68.103         1.122        -0.050         0.412         1.197
2006 037 21 47 10.500       -18.891       -63.539        15.616        68.102         1.122        -0.050         0.412         1.197
2006 037 21 52 10.500       -18.885       -63.539        15.618        68.101         1.123        -0.049         0.412         1.197
2006 037 21 57 10.500       -18.880       -63.539        15.620        68.100         1.123        -0.049         0.412         1.197
2006 037 22 02 10.500       -18.875       -63.539        15.622        68.099         1.123        -0.048         0.411         1.197
2006 037 22 07 10.500       -18.869       -63.539        15.624        68.099         1.123        -0.047         0.411         1.197
2006 037 22 12 10.500       -18.864       -63.540        15.626        68.098         1.123        -0.047         0.411         1.197
2006 037 22 17 10.500       -18.858       -63.540        15.628        68.097         1.124        -0.046         0.411         1.197
2006 037 22 22 10.500       -18.853       -63.540        15.630        68.096         1.124        -0.045         0.411         1.197
2006 037 22 27 10.500       -18.847       -63.540        15.632        68.095         1.124        -0.045         0.411         1.197
2006 037 22 32 10.500       -18.842       -63.540        15.634        68.094         1.124        -0.044         0.410         1.197
2006 037 22 37 10.500       -18.836       -63.541        15.636        68.093         1.124        -0.044         0.410         1.198
2006 037 22 42 10.500       -18.831       -63.541        15.638        68.092         1.124        -0.043         0.410         1.198
2006 037 22 47 10.500       -18.825       -63.541        15.640        68.092         1.125        -0.042         0.410         1.198
2006 037 22 52 10.500       -18.820       -63.541        15.642        68.091         1.125        -0.042         0.410         1.198
2006 037 22 57 10.500       -18.815       -63.541        15.644        68.090         1.125        -0.041         0.410         1.198
2006 037 23 02 10.500       -18.809       -63.541        15.646        68.089         1.125        -0.040         0.409         1.198
2006 037 23 07 10.500       -18.804       -63.542        15.648        68.088         1.125        -0.040         0.409         1.198
